[0] reg4 = 103548; prev reg4 = -1
[5766] reg4 = 14286594; prev reg4 = 14317712
[5767] reg4 = 996785; prev reg4 = 14286594
[5768] reg4 = 2395654; prev reg4 = 996785
[5769] reg4 = 1340440; prev reg4 = 2395654
[5770] reg4 = 7050356; prev reg4 = 1340440
[5771] reg4 = 8491866; prev reg4 = 7050356
[5772] reg4 = 4280165; prev reg4 = 8491866
[5773] reg4 = 14005010; prev reg4 = 4280165
[5774] reg4 = 3679817; prev reg4 = 14005010
[5775] reg4 = 11345669; prev reg4 = 3679817
[5776] reg4 = 15673958; prev reg4 = 11345669
[5777] reg4 = 5316962; prev reg4 = 15673958
[5778] reg4 = 440203; prev reg4 = 5316962
[5779] reg4 = 1388622; prev reg4 = 440203
[5780] reg4 = 1135826; prev reg4 = 1388622
[5781] reg4 = 15682550; prev reg4 = 1135826
[5782] reg4 = 15034859; prev reg4 = 15682550
[5783] reg4 = 16135642; prev reg4 = 15034859
[5784] reg4 = 13967433; prev reg4 = 16135642
[5785] reg4 = 3795939; prev reg4 = 13967433
[5786] reg4 = 13877584; prev reg4 = 3795939
[5787] reg4 = 3384747; prev reg4 = 13877584
[5788] reg4 = 11323408; prev reg4 = 3384747
[5789] reg4 = 12480024; prev reg4 = 11323408
[5790] reg4 = 423212; prev reg4 = 12480024
[5791] reg4 = 9877967; prev reg4 = 423212
[5792] reg4 = 10520572; prev reg4 = 9877967
[5793] reg4 = 5556383; prev reg4 = 10520572
[5794] reg4 = 1901485; prev reg4 = 5556383
[5795] reg4 = 15640690; prev reg4 = 1901485
[5796] reg4 = 14470228; prev reg4 = 15640690
[5797] reg4 = 10044184; prev reg4 = 14470228
[5798] reg4 = 9947703; prev reg4 = 10044184
[5799] reg4 = 1434877; prev reg4 = 9947703
[5800] reg4 = 4578211; prev reg4 = 1434877
[5801] reg4 = 2658820; prev reg4 = 4578211
[5802] reg4 = 7261186; prev reg4 = 2658820
[5803] reg4 = 10228872; prev reg4 = 7261186
[5804] reg4 = 1291324; prev reg4 = 10228872
[5805] reg4 = 1653642; prev reg4 = 1291324
[5806] reg4 = 8461285; prev reg4 = 1653642
[5807] reg4 = 10725822; prev reg4 = 8461285
[5808] reg4 = 14273517; prev reg4 = 10725822
[5809] reg4 = 10807374; prev reg4 = 14273517
[5810] reg4 = 14947834; prev reg4 = 10807374
[5811] reg4 = 6175235; prev reg4 = 14947834
[5812] reg4 = 6245545; prev reg4 = 6175235
[5813] reg4 = 11950973; prev reg4 = 6245545
[5814] reg4 = 14754520; prev reg4 = 11950973
[5815] reg4 = 11343030; prev reg4 = 14754520
[5816] reg4 = 221654; prev reg4 = 11343030
[5817] reg4 = 15518925; prev reg4 = 221654
[5818] reg4 = 16088323; prev reg4 = 15518925
[5819] reg4 = 8312774; prev reg4 = 16088323
[5820] reg4 = 11335863; prev reg4 = 8312774
[5821] reg4 = 6990573; prev reg4 = 11335863
[5822] reg4 = 6156923; prev reg4 = 6990573
[5823] reg4 = 15107507; prev reg4 = 6156923
[5824] reg4 = 8934084; prev reg4 = 15107507
[5825] reg4 = 7595042; prev reg4 = 8934084
[5826] reg4 = 8119788; prev reg4 = 7595042
[5827] reg4 = 3263867; prev reg4 = 8119788
[5828] reg4 = 8512146; prev reg4 = 3263867
[5829] reg4 = 16406692; prev reg4 = 8512146
[5830] reg4 = 5966782; prev reg4 = 16406692
[5831] reg4 = 4175783; prev reg4 = 5966782
[5832] reg4 = 13998282; prev reg4 = 4175783
[5833] reg4 = 15612014; prev reg4 = 13998282
[5834] reg4 = 4729368; prev reg4 = 15612014
[5835] reg4 = 3085494; prev reg4 = 4729368
[5836] reg4 = 8695596; prev reg4 = 3085494
[5837] reg4 = 395875; prev reg4 = 8695596
[5838] reg4 = 5827665; prev reg4 = 395875
[5839] reg4 = 412179; prev reg4 = 5827665
[5840] reg4 = 13942945; prev reg4 = 412179
[5841] reg4 = 15162379; prev reg4 = 13942945
[5842] reg4 = 12537003; prev reg4 = 15162379
[5843] reg4 = 2137155; prev reg4 = 12537003
[5844] reg4 = 595025; prev reg4 = 2137155
[5845] reg4 = 7572619; prev reg4 = 595025
[5846] reg4 = 3757151; prev reg4 = 7572619
[5847] reg4 = 15240037; prev reg4 = 3757151
[5848] reg4 = 2049190; prev reg4 = 15240037
[5849] reg4 = 10966524; prev reg4 = 2049190
[5850] reg4 = 2771199; prev reg4 = 10966524
[5851] reg4 = 12847807; prev reg4 = 2771199
[5852] reg4 = 14100367; prev reg4 = 12847807
[5853] reg4 = 7880826; prev reg4 = 14100367
[5854] reg4 = 13364338; prev reg4 = 7880826
[5855] reg4 = 1659500; prev reg4 = 13364338
[5856] reg4 = 5736650; prev reg4 = 1659500
[5857] reg4 = 15686196; prev reg4 = 5736650
[5858] reg4 = 14588892; prev reg4 = 15686196
[5859] reg4 = 14142621; prev reg4 = 14588892
[5860] reg4 = 16125505; prev reg4 = 14142621
[5861] reg4 = 329855; prev reg4 = 16125505
[5862] reg4 = 3079453; prev reg4 = 329855
[5863] reg4 = 3636210; prev reg4 = 3079453
[5864] reg4 = 10057319; prev reg4 = 3636210
[5865] reg4 = 2118319; prev reg4 = 10057319
[5866] reg4 = 10829275; prev reg4 = 2118319
[5867] reg4 = 4693534; prev reg4 = 10829275
[5868] reg4 = 2848678; prev reg4 = 4693534
[5869] reg4 = 12317147; prev reg4 = 2848678
[5870] reg4 = 4171620; prev reg4 = 12317147
[5871] reg4 = 1033089; prev reg4 = 4171620
[5872] reg4 = 835860; prev reg4 = 1033089
[5873] reg4 = 4778357; prev reg4 = 835860
[5874] reg4 = 1910500; prev reg4 = 4778357
[5875] reg4 = 8543634; prev reg4 = 1910500
[5876] reg4 = 12775773; prev reg4 = 8543634
[5877] reg4 = 14893538; prev reg4 = 12775773
[5878] reg4 = 526129; prev reg4 = 14893538
[5879] reg4 = 14671558; prev reg4 = 526129
[5880] reg4 = 16094182; prev reg4 = 14671558
[5881] reg4 = 6189381; prev reg4 = 16094182
[5882] reg4 = 569294; prev reg4 = 6189381
[5883] reg4 = 10274581; prev reg4 = 569294
[5884] reg4 = 15639118; prev reg4 = 10274581
[5885] reg4 = 1949778; prev reg4 = 15639118
[5886] reg4 = 11426182; prev reg4 = 1949778
[5887] reg4 = 5558521; prev reg4 = 11426182
[5888] reg4 = 9604771; prev reg4 = 5558521
[5889] reg4 = 8269561; prev reg4 = 9604771
[5890] reg4 = 725279; prev reg4 = 8269561
[5891] reg4 = 16416512; prev reg4 = 725279
[5892] reg4 = 2511041; prev reg4 = 16416512
[5893] reg4 = 5422785; prev reg4 = 2511041
[5894] reg4 = 5253283; prev reg4 = 5422785
[5895] reg4 = 2800557; prev reg4 = 5253283
[5896] reg4 = 4108612; prev reg4 = 2800557
[5897] reg4 = 14963803; prev reg4 = 4108612
[5898] reg4 = 8523261; prev reg4 = 14963803
[5899] reg4 = 4861502; prev reg4 = 8523261
[5900] reg4 = 4839106; prev reg4 = 4861502
[5901] reg4 = 9123872; prev reg4 = 4839106
[5902] reg4 = 6847234; prev reg4 = 9123872
[5903] reg4 = 4009853; prev reg4 = 6847234
[5904] reg4 = 4587022; prev reg4 = 4009853
[5905] reg4 = 14464256; prev reg4 = 4587022
[5906] reg4 = 10008893; prev reg4 = 14464256
[5907] reg4 = 14476156; prev reg4 = 10008893
[5908] reg4 = 12840623; prev reg4 = 14476156
[5909] reg4 = 15322189; prev reg4 = 12840623
[5910] reg4 = 8605143; prev reg4 = 15322189
[5911] reg4 = 9578540; prev reg4 = 8605143
[5912] reg4 = 2797230; prev reg4 = 9578540
[5913] reg4 = 4942386; prev reg4 = 2797230
[5914] reg4 = 11544122; prev reg4 = 4942386
[5915] reg4 = 14475344; prev reg4 = 11544122
[5916] reg4 = 6686784; prev reg4 = 14475344
[5917] reg4 = 6246310; prev reg4 = 6686784
[5918] reg4 = 3133103; prev reg4 = 6246310
[5919] reg4 = 5546833; prev reg4 = 3133103
[5920] reg4 = 6913446; prev reg4 = 5546833
[5921] reg4 = 678427; prev reg4 = 6913446
[5922] reg4 = 8377461; prev reg4 = 678427
[5923] reg4 = 10173001; prev reg4 = 8377461
[5924] reg4 = 15720559; prev reg4 = 10173001
[5925] reg4 = 970707; prev reg4 = 15720559
[5926] reg4 = 12285014; prev reg4 = 970707
[5927] reg4 = 4185072; prev reg4 = 12285014
[5928] reg4 = 10014329; prev reg4 = 4185072
[5929] reg4 = 12107805; prev reg4 = 10014329
[5930] reg4 = 4823435; prev reg4 = 12107805
[5931] reg4 = 474166; prev reg4 = 4823435
[5932] reg4 = 11450844; prev reg4 = 474166
[5933] reg4 = 16243259; prev reg4 = 11450844
[5934] reg4 = 657913; prev reg4 = 16243259
[5935] reg4 = 6162406; prev reg4 = 657913
[5936] reg4 = 10887015; prev reg4 = 6162406
[5937] reg4 = 12941738; prev reg4 = 10887015
[5938] reg4 = 1721079; prev reg4 = 12941738
[5939] reg4 = 8192289; prev reg4 = 1721079
[5940] reg4 = 16166332; prev reg4 = 8192289
[5941] reg4 = 8688967; prev reg4 = 16166332
[5942] reg4 = 10027098; prev reg4 = 8688967
[5943] reg4 = 5234994; prev reg4 = 10027098
[5944] reg4 = 1929189; prev reg4 = 5234994
[5945] reg4 = 2097318; prev reg4 = 1929189
[5946] reg4 = 4759470; prev reg4 = 2097318
[5947] reg4 = 12676069; prev reg4 = 4759470
[5948] reg4 = 6610510; prev reg4 = 12676069
[5949] reg4 = 3383296; prev reg4 = 6610510
[5950] reg4 = 3510018; prev reg4 = 3383296
[5951] reg4 = 15277109; prev reg4 = 3510018
[5952] reg4 = 9225951; prev reg4 = 15277109
[5953] reg4 = 14443107; prev reg4 = 9225951
[5954] reg4 = 7408475; prev reg4 = 14443107
[5955] reg4 = 7643840; prev reg4 = 7408475
[5956] reg4 = 13447242; prev reg4 = 7643840
[5957] reg4 = 11987054; prev reg4 = 13447242
[5958] reg4 = 9550304; prev reg4 = 11987054
[5959] reg4 = 15540477; prev reg4 = 9550304
[5960] reg4 = 12384327; prev reg4 = 15540477
[5961] reg4 = 5922125; prev reg4 = 12384327
[5962] reg4 = 4937286; prev reg4 = 5922125
[5963] reg4 = 3221058; prev reg4 = 4937286
[5964] reg4 = 8588648; prev reg4 = 3221058
[5965] reg4 = 7729647; prev reg4 = 8588648
[5966] reg4 = 5929630; prev reg4 = 7729647
[5967] reg4 = 5069694; prev reg4 = 5929630
[5968] reg4 = 8087773; prev reg4 = 5069694
[5969] reg4 = 7311433; prev reg4 = 8087773
[5970] reg4 = 5540913; prev reg4 = 7311433
[5971] reg4 = 6665383; prev reg4 = 5540913
[5972] reg4 = 7587457; prev reg4 = 6665383
[5973] reg4 = 16340747; prev reg4 = 7587457
[5974] reg4 = 10049684; prev reg4 = 16340747
[5975] reg4 = 11189144; prev reg4 = 10049684
[5976] reg4 = 5854197; prev reg4 = 11189144
[5977] reg4 = 642734; prev reg4 = 5854197
[5978] reg4 = 2724124; prev reg4 = 642734
[5979] reg4 = 749841; prev reg4 = 2724124
[5980] reg4 = 12023766; prev reg4 = 749841
[5981] reg4 = 3278831; prev reg4 = 12023766
[5982] reg4 = 10854382; prev reg4 = 3278831
[5983] reg4 = 5571353; prev reg4 = 10854382
[5984] reg4 = 5740510; prev reg4 = 5571353
[5985] reg4 = 16300423; prev reg4 = 5740510
[5986] reg4 = 10820506; prev reg4 = 16300423
[5987] reg4 = 5984377; prev reg4 = 10820506
[5988] reg4 = 2691365; prev reg4 = 5984377
[5989] reg4 = 3527548; prev reg4 = 2691365
[5990] reg4 = 10147047; prev reg4 = 3527548
[5991] reg4 = 14778099; prev reg4 = 10147047
[5992] reg4 = 13716467; prev reg4 = 14778099
[5993] reg4 = 12102248; prev reg4 = 13716467
[5994] reg4 = 2484726; prev reg4 = 12102248
[5995] reg4 = 7076267; prev reg4 = 2484726
[5996] reg4 = 12975148; prev reg4 = 7076267
[5997] reg4 = 4142792; prev reg4 = 12975148
[5998] reg4 = 10264644; prev reg4 = 4142792
[5999] reg4 = 15379292; prev reg4 = 10264644
[6000] reg4 = 16113585; prev reg4 = 15379292
[6001] reg4 = 8233730; prev reg4 = 16113585
[6002] reg4 = 1161409; prev reg4 = 8233730
[6003] reg4 = 16628407; prev reg4 = 1161409
[6004] reg4 = 6976399; prev reg4 = 16628407
[6005] reg4 = 2913858; prev reg4 = 6976399
[6006] reg4 = 16769420; prev reg4 = 2913858
[6007] reg4 = 8642211; prev reg4 = 16769420
[6008] reg4 = 15659545; prev reg4 = 8642211
[6009] reg4 = 10288371; prev reg4 = 15659545
[6010] reg4 = 14566037; prev reg4 = 10288371
[6011] reg4 = 6668103; prev reg4 = 14566037
[6012] reg4 = 15287636; prev reg4 = 6668103
[6013] reg4 = 12313741; prev reg4 = 15287636
[6014] reg4 = 13394613; prev reg4 = 12313741
[6015] reg4 = 15697729; prev reg4 = 13394613
[6016] reg4 = 1459864; prev reg4 = 15697729
[6017] reg4 = 738188; prev reg4 = 1459864
[6018] reg4 = 3987065; prev reg4 = 738188
[6019] reg4 = 1856369; prev reg4 = 3987065
[6020] reg4 = 4972238; prev reg4 = 1856369
[6021] reg4 = 8889506; prev reg4 = 4972238
[6022] reg4 = 16612744; prev reg4 = 8889506
[6023] reg4 = 875069; prev reg4 = 16612744
[6024] reg4 = 2562641; prev reg4 = 875069
[6025] reg4 = 10602347; prev reg4 = 2562641
[6026] reg4 = 9743324; prev reg4 = 10602347
[6027] reg4 = 888639; prev reg4 = 9743324
[6028] reg4 = 15295300; prev reg4 = 888639
[6029] reg4 = 12480779; prev reg4 = 15295300
[6030] reg4 = 5197088; prev reg4 = 12480779
[6031] reg4 = 14966555; prev reg4 = 5197088
[6032] reg4 = 9639728; prev reg4 = 14966555
[6033] reg4 = 15069617; prev reg4 = 9639728
[6034] reg4 = 10337620; prev reg4 = 15069617
[6035] reg4 = 11583361; prev reg4 = 10337620
[6036] reg4 = 5217254; prev reg4 = 11583361
[6037] reg4 = 7838635; prev reg4 = 5217254
[6038] reg4 = 8457538; prev reg4 = 7838635
[6039] reg4 = 12270279; prev reg4 = 8457538
[6040] reg4 = 7634601; prev reg4 = 12270279
[6041] reg4 = 16581329; prev reg4 = 7634601
[6042] reg4 = 10936069; prev reg4 = 16581329
[6043] reg4 = 15412388; prev reg4 = 10936069
[6044] reg4 = 2784578; prev reg4 = 15412388
[6045] reg4 = 15069637; prev reg4 = 2784578
[6046] reg4 = 16708560; prev reg4 = 15069637
[6047] reg4 = 16684465; prev reg4 = 16708560
[6048] reg4 = 1501110; prev reg4 = 16684465
[6049] reg4 = 7785375; prev reg4 = 1501110
[6050] reg4 = 13057038; prev reg4 = 7785375
[6051] reg4 = 11361572; prev reg4 = 13057038
[6052] reg4 = 14057793; prev reg4 = 11361572
[6053] reg4 = 15602746; prev reg4 = 14057793
[6054] reg4 = 15402808; prev reg4 = 15602746
[6055] reg4 = 15017345; prev reg4 = 15402808
[6056] reg4 = 9585240; prev reg4 = 15017345
[6057] reg4 = 15782844; prev reg4 = 9585240
[6058] reg4 = 9368635; prev reg4 = 15782844
[6059] reg4 = 9551179; prev reg4 = 9368635
[6060] reg4 = 7925650; prev reg4 = 9551179
[6061] reg4 = 15364273; prev reg4 = 7925650
[6062] reg4 = 13264541; prev reg4 = 15364273
[6063] reg4 = 14215047; prev reg4 = 13264541
[6064] reg4 = 5598072; prev reg4 = 14215047
[6065] reg4 = 15103443; prev reg4 = 5598072
[6066] reg4 = 10727828; prev reg4 = 15103443
[6067] reg4 = 13483031; prev reg4 = 10727828
[6068] reg4 = 14713105; prev reg4 = 13483031
[6069] reg4 = 971480; prev reg4 = 14713105
[6070] reg4 = 6015520; prev reg4 = 971480
[6071] reg4 = 6931572; prev reg4 = 6015520
[6072] reg4 = 4916; prev reg4 = 6931572
[6073] reg4 = 428307; prev reg4 = 4916
[6074] reg4 = 16608296; prev reg4 = 428307
[6075] reg4 = 14847188; prev reg4 = 16608296
[6076] reg4 = 837338; prev reg4 = 14847188
[6077] reg4 = 4415300; prev reg4 = 837338
[6078] reg4 = 12024517; prev reg4 = 4415300
[6079] reg4 = 6778519; prev reg4 = 12024517
[6080] reg4 = 1525137; prev reg4 = 6778519
[6081] reg4 = 1129102; prev reg4 = 1525137
[6082] reg4 = 11829024; prev reg4 = 1129102
[6083] reg4 = 8091615; prev reg4 = 11829024
[6084] reg4 = 2191814; prev reg4 = 8091615
[6085] reg4 = 4021687; prev reg4 = 2191814
[6086] reg4 = 3171866; prev reg4 = 4021687
[6087] reg4 = 12668592; prev reg4 = 3171866
[6088] reg4 = 15397418; prev reg4 = 12668592
[6089] reg4 = 15440074; prev reg4 = 15397418
[6090] reg4 = 284576; prev reg4 = 15440074
[6091] reg4 = 7879399; prev reg4 = 284576
[6092] reg4 = 13478771; prev reg4 = 7879399
[6093] reg4 = 4685980; prev reg4 = 13478771
[6094] reg4 = 4167378; prev reg4 = 4685980
[6095] reg4 = 13517026; prev reg4 = 4167378
[6096] reg4 = 1828892; prev reg4 = 13517026
[6097] reg4 = 6703638; prev reg4 = 1828892
[6098] reg4 = 4447674; prev reg4 = 6703638
[6099] reg4 = 4612117; prev reg4 = 4447674
[6100] reg4 = 11472877; prev reg4 = 4612117
[6101] reg4 = 14200036; prev reg4 = 11472877
[6102] reg4 = 5297404; prev reg4 = 14200036
[6103] reg4 = 16591060; prev reg4 = 5297404
[6104] reg4 = 12966772; prev reg4 = 16591060
[6105] reg4 = 12899399; prev reg4 = 12966772
[6106] reg4 = 132769; prev reg4 = 12899399
[6107] reg4 = 2242523; prev reg4 = 132769
[6108] reg4 = 11851122; prev reg4 = 2242523
[6109] reg4 = 10155163; prev reg4 = 11851122
[6110] reg4 = 7368047; prev reg4 = 10155163
[6111] reg4 = 8840206; prev reg4 = 7368047
[6112] reg4 = 3066828; prev reg4 = 8840206
[6113] reg4 = 5869709; prev reg4 = 3066828
[6114] reg4 = 8975115; prev reg4 = 5869709
[6115] reg4 = 13263488; prev reg4 = 8975115
[6116] reg4 = 15460156; prev reg4 = 13263488
[6117] reg4 = 16447661; prev reg4 = 15460156
[6118] reg4 = 8945225; prev reg4 = 16447661
[6119] reg4 = 4096013; prev reg4 = 8945225
[6120] reg4 = 8419613; prev reg4 = 4096013
[6121] reg4 = 2656468; prev reg4 = 8419613
[6122] reg4 = 15840312; prev reg4 = 2656468
[6123] reg4 = 15009032; prev reg4 = 15840312
[6124] reg4 = 4573181; prev reg4 = 15009032
[6125] reg4 = 16634046; prev reg4 = 4573181
[6126] reg4 = 1881530; prev reg4 = 16634046
[6127] reg4 = 6274379; prev reg4 = 1881530
[6128] reg4 = 4630700; prev reg4 = 6274379
[6129] reg4 = 5097706; prev reg4 = 4630700
[6130] reg4 = 8488102; prev reg4 = 5097706
[6131] reg4 = 692018; prev reg4 = 8488102
[6132] reg4 = 11022391; prev reg4 = 692018
[6133] reg4 = 3562297; prev reg4 = 11022391
[6134] reg4 = 1435468; prev reg4 = 3562297
[6135] reg4 = 7442027; prev reg4 = 1435468
[6136] reg4 = 4967579; prev reg4 = 7442027
[6137] reg4 = 6262551; prev reg4 = 4967579
[6138] reg4 = 7957138; prev reg4 = 6262551
[6139] reg4 = 11601556; prev reg4 = 7957138
[6140] reg4 = 9567838; prev reg4 = 11601556
[6141] reg4 = 11401908; prev reg4 = 9567838
[6142] reg4 = 793446; prev reg4 = 11401908
[6143] reg4 = 12957717; prev reg4 = 793446
[6144] reg4 = 7254575; prev reg4 = 12957717
[6145] reg4 = 8816725; prev reg4 = 7254575
[6146] reg4 = 15133781; prev reg4 = 8816725
[6147] reg4 = 11044025; prev reg4 = 15133781
[6148] reg4 = 9380371; prev reg4 = 11044025
[6149] reg4 = 10294417; prev reg4 = 9380371
[6150] reg4 = 4158247; prev reg4 = 10294417
[6151] reg4 = 439846; prev reg4 = 4158247
[6152] reg4 = 5390550; prev reg4 = 439846
[6153] reg4 = 6612068; prev reg4 = 5390550
[6154] reg4 = 11444088; prev reg4 = 6612068
[6155] reg4 = 2196229; prev reg4 = 11444088
[6156] reg4 = 12809254; prev reg4 = 2196229
[6157] reg4 = 6199224; prev reg4 = 12809254
[6158] reg4 = 4722829; prev reg4 = 6199224
[6159] reg4 = 7831515; prev reg4 = 4722829
[6160] reg4 = 13242518; prev reg4 = 7831515
[6161] reg4 = 2488092; prev reg4 = 13242518
[6162] reg4 = 1605915; prev reg4 = 2488092
[6163] reg4 = 7754366; prev reg4 = 1605915
[6164] reg4 = 887786; prev reg4 = 7754366
[6165] reg4 = 13140945; prev reg4 = 887786
[6166] reg4 = 4977794; prev reg4 = 13140945
[6167] reg4 = 10909668; prev reg4 = 4977794
[6168] reg4 = 6684105; prev reg4 = 10909668
[6169] reg4 = 11653192; prev reg4 = 6684105
[6170] reg4 = 9616308; prev reg4 = 11653192
[6171] reg4 = 13191937; prev reg4 = 9616308
[6172] reg4 = 1595546; prev reg4 = 13191937
[6173] reg4 = 4665354; prev reg4 = 1595546
[6174] reg4 = 16324012; prev reg4 = 4665354
[6175] reg4 = 16200981; prev reg4 = 16324012
[6176] reg4 = 1545322; prev reg4 = 16200981
[6177] reg4 = 16548096; prev reg4 = 1545322
[6178] reg4 = 14178569; prev reg4 = 16548096
[6179] reg4 = 2062336; prev reg4 = 14178569
[6180] reg4 = 6358462; prev reg4 = 2062336
[6181] reg4 = 3518419; prev reg4 = 6358462
[6182] reg4 = 14766872; prev reg4 = 3518419
[6183] reg4 = 6314975; prev reg4 = 14766872
[6184] reg4 = 6750380; prev reg4 = 6314975
[6185] reg4 = 11283682; prev reg4 = 6750380
[6186] reg4 = 1671538; prev reg4 = 11283682
[6187] reg4 = 1913523; prev reg4 = 1671538
[6188] reg4 = 11817563; prev reg4 = 1913523
[6189] reg4 = 10601595; prev reg4 = 11817563
[6190] reg4 = 5925089; prev reg4 = 10601595
[6191] reg4 = 6476853; prev reg4 = 5925089
[6192] reg4 = 4718037; prev reg4 = 6476853
[6193] reg4 = 13498786; prev reg4 = 4718037
[6194] reg4 = 16566327; prev reg4 = 13498786
[6195] reg4 = 13398061; prev reg4 = 16566327
[6196] reg4 = 2793799; prev reg4 = 13398061
[6197] reg4 = 6201704; prev reg4 = 2793799
[6198] reg4 = 3363287; prev reg4 = 6201704
[6199] reg4 = 10600864; prev reg4 = 3363287
[6200] reg4 = 8796341; prev reg4 = 10600864
[6201] reg4 = 3715493; prev reg4 = 8796341
[6202] reg4 = 11913036; prev reg4 = 3715493
[6203] reg4 = 1186347; prev reg4 = 11913036
[6204] reg4 = 13956797; prev reg4 = 1186347
[6205] reg4 = 2085; prev reg4 = 13956797
[6206] reg4 = 7701059; prev reg4 = 2085
[6207] reg4 = 7160995; prev reg4 = 7701059
[6208] reg4 = 15151005; prev reg4 = 7160995
[6209] reg4 = 9206140; prev reg4 = 15151005
[6210] reg4 = 154789; prev reg4 = 9206140
[6211] reg4 = 13013837; prev reg4 = 154789
[6212] reg4 = 4751984; prev reg4 = 13013837
[6213] reg4 = 1818838; prev reg4 = 4751984
[6214] reg4 = 3010940; prev reg4 = 1818838
[6215] reg4 = 14883645; prev reg4 = 3010940
[6216] reg4 = 13999676; prev reg4 = 14883645
[6217] reg4 = 4985530; prev reg4 = 13999676
[6218] reg4 = 411024; prev reg4 = 4985530
[6219] reg4 = 16533387; prev reg4 = 411024
[6220] reg4 = 9133104; prev reg4 = 16533387
[6221] reg4 = 1483318; prev reg4 = 9133104
[6222] reg4 = 13624898; prev reg4 = 1483318
[6223] reg4 = 2357298; prev reg4 = 13624898
[6224] reg4 = 5861408; prev reg4 = 2357298
[6225] reg4 = 7785620; prev reg4 = 5861408
[6226] reg4 = 6932278; prev reg4 = 7785620
[6227] reg4 = 5947205; prev reg4 = 6932278
[6228] reg4 = 13991552; prev reg4 = 5947205
[6229] reg4 = 9847206; prev reg4 = 13991552
[6230] reg4 = 9959417; prev reg4 = 9847206
[6231] reg4 = 12408424; prev reg4 = 9959417
[6232] reg4 = 4786926; prev reg4 = 12408424
[6233] reg4 = 4123384; prev reg4 = 4786926
[6234] reg4 = 6805992; prev reg4 = 4123384
[6235] reg4 = 15343399; prev reg4 = 6805992
[6236] reg4 = 13813078; prev reg4 = 15343399
[6237] reg4 = 11590273; prev reg4 = 13813078
[6238] reg4 = 1566057; prev reg4 = 11590273
[6239] reg4 = 5275958; prev reg4 = 1566057
[6240] reg4 = 3268263; prev reg4 = 5275958
[6241] reg4 = 11530015; prev reg4 = 3268263
[6242] reg4 = 15844346; prev reg4 = 11530015
[6243] reg4 = 3941573; prev reg4 = 15844346
[6244] reg4 = 6018931; prev reg4 = 3941573
[6245] reg4 = 16078530; prev reg4 = 6018931
[6246] reg4 = 3592068; prev reg4 = 16078530
[6247] reg4 = 6532977; prev reg4 = 3592068
[6248] reg4 = 3357836; prev reg4 = 6532977
[6249] reg4 = 8191010; prev reg4 = 3357836
[6250] reg4 = 12989810; prev reg4 = 8191010
[6251] reg4 = 11229825; prev reg4 = 12989810
[6252] reg4 = 1081447; prev reg4 = 11229825
[6253] reg4 = 503057; prev reg4 = 1081447
[6254] reg4 = 5510534; prev reg4 = 503057
[6255] reg4 = 10065975; prev reg4 = 5510534
[6256] reg4 = 15163313; prev reg4 = 10065975
[6257] reg4 = 7221928; prev reg4 = 15163313
[6258] reg4 = 13717264; prev reg4 = 7221928
[6259] reg4 = 13195187; prev reg4 = 13717264
[6260] reg4 = 10070780; prev reg4 = 13195187
[6261] reg4 = 13966482; prev reg4 = 10070780
[6262] reg4 = 3978410; prev reg4 = 13966482
[6263] reg4 = 5907138; prev reg4 = 3978410
[6264] reg4 = 12281746; prev reg4 = 5907138
[6265] reg4 = 7035903; prev reg4 = 12281746
[6266] reg4 = 825658; prev reg4 = 7035903
[6267] reg4 = 4272351; prev reg4 = 825658
[6268] reg4 = 16670265; prev reg4 = 4272351
[6269] reg4 = 6753039; prev reg4 = 16670265
[6270] reg4 = 16329710; prev reg4 = 6753039
[6271] reg4 = 13123169; prev reg4 = 16329710
[6272] reg4 = 15914069; prev reg4 = 13123169
[6273] reg4 = 7623781; prev reg4 = 15914069
[6274] reg4 = 4328043; prev reg4 = 7623781
[6275] reg4 = 12329981; prev reg4 = 4328043
[6276] reg4 = 1358946; prev reg4 = 12329981
[6277] reg4 = 9701498; prev reg4 = 1358946
[6278] reg4 = 10976174; prev reg4 = 9701498
[6279] reg4 = 12554027; prev reg4 = 10976174
[6280] reg4 = 3877166; prev reg4 = 12554027
[6281] reg4 = 11791685; prev reg4 = 3877166
[6282] reg4 = 16676998; prev reg4 = 11791685
[6283] reg4 = 13473488; prev reg4 = 16676998
[6284] reg4 = 5460374; prev reg4 = 13473488
[6285] reg4 = 8781293; prev reg4 = 5460374
[6286] reg4 = 8452436; prev reg4 = 8781293
[6287] reg4 = 3488553; prev reg4 = 8452436
[6288] reg4 = 12961830; prev reg4 = 3488553
[6289] reg4 = 4292418; prev reg4 = 12961830
[6290] reg4 = 11277929; prev reg4 = 4292418
[6291] reg4 = 4006481; prev reg4 = 11277929
[6292] reg4 = 7863397; prev reg4 = 4006481
[6293] reg4 = 382633; prev reg4 = 7863397
[6294] reg4 = 13456281; prev reg4 = 382633
[6295] reg4 = 12535126; prev reg4 = 13456281
[6296] reg4 = 10183077; prev reg4 = 12535126
[6297] reg4 = 9926770; prev reg4 = 10183077
[6298] reg4 = 249052; prev reg4 = 9926770
[6299] reg4 = 5446162; prev reg4 = 249052
[6300] reg4 = 10210658; prev reg4 = 5446162
[6301] reg4 = 7533765; prev reg4 = 10210658
[6302] reg4 = 1333845; prev reg4 = 7533765
[6303] reg4 = 10734961; prev reg4 = 1333845
[6304] reg4 = 12839162; prev reg4 = 10734961
[6305] reg4 = 4606024; prev reg4 = 12839162
